team,sport,wins,losses,pct,source,players
Platt Tech,girls-basketball,5,15,0.25,ciac,[]
Pomperaug,boys-basketball,1,19,0.05,ciac,[]
Pomperaug,girls-basketball,10,12,0.455,ciac,[]
Pope Francis Preparatory Schoo,boys-basketball,0,0,0.0,none,[]
Portland,boys-basketball,7,13,0.35,ciac,[]
Portland,girls-basketball,10,13,0.435,ciac,[]
Prince Tech,boys-basketball,3,17,0.15,ciac,[]
Prince Tech,girls-basketball,19,5,0.792,ciac,[]
Putnam,boys-basketball,11,10,0.524,ciac,[]
Putnam,girls-basketball,0,21,0.0,ciac,[]
RHAM,boys-basketball,11,11,0.5,ciac,[]
RHAM,girls-basketball,9,13,0.409,ciac,[]
Ramapo High School,boys-basketball,0,0,0.0,none,[]
Ridgefield,boys-basketball,18,6,0.75,ciac,[]
Ridgefield,girls-basketball,11,8,0.579,ciac,[]
Ridgewood High School,girls-basketball,0,0,0.0,none,[]
Rockville,girls-basketball,8,16,0.333,ciac,[]
Rockville,boys-basketball,7,13,0.35,ciac,[]
Rocky Hill,girls-basketball,22,2,0.917,ciac,[]
Rocky Hill,boys-basketball,1,19,0.05,ciac,[]
Rome Free Academy,girls-basketball,0,0,0.0,none,[]
SMSA,boys-basketball,21,3,0.875,ciac,[]
SMSA,girls-basketball,16,6,0.727,ciac,[]
Sacred Heart Academy,girls-basketball,0,0,0.0,none,[]
Seymour,girls-basketball,23,2,0.92,ciac,[]
Seymour,boys-basketball,4,16,0.2,ciac,[]
Shaker High School,boys-basketball,0,0,0.0,none,[]
Sheehan,boys-basketball,14,9,0.609,ciac,[]
Sheehan,girls-basketball,19,5,0.792,ciac,[]
Shelton,girls-basketball,5,15,0.25,ciac,[]
Shelton,boys-basketball,16,7,0.696,ciac,[]
Shepaug Valley,girls-basketball,4,16,0.2,ciac,[]
Shepaug Valley,boys-basketball,17,8,0.68,ciac,[]
Simsbury,girls-basketball,4,16,0.2,ciac,[]
Simsbury,boys-basketball,9,12,0.429,ciac,[]
Socastee High School,boys-basketball,0,0,0.0,none,[]
Somers,girls-basketball,7,14,0.333,ciac,[]
Somers,boys-basketball,14,7,0.667,ciac,[]
South Kingstown High School,girls-basketball,0,0,0.0,none,[]
South Kingstown High School,boys-basketball,0,0,0.0,none,[]
South Windsor,boys-basketball,10,11,0.476,ciac,[]
South Windsor,girls-basketball,17,5,0.773,ciac,[]
Southington,boys-basketball,13,9,0.591,ciac,[]
Southington,girls-basketball,16,7,0.696,ciac,[]
Springfield Central High Schoo,girls-basketball,0,0,0.0,none,[]
Springfield Central High Schoo,boys-basketball,0,0,0.0,none,[]
Springfield International Char,boys-basketball,10,12,0.455,ciac,[]
St. Anthony's High School NY,boys-basketball,0,0,0.0,none,[]
St. Bernard,boys-basketball,8,9,0.471,ciac,[]
St. Bernard,girls-basketball,12,12,0.5,ciac,[]
St. John The Baptist High Scho,boys-basketball,0,0,0.0,none,[]
St. Joseph,boys-basketball,7,12,0.368,ciac,[]
St. Joseph,girls-basketball,14,9,0.609,ciac,[]
St. Paul Catholic,boys-basketball,16,8,0.667,ciac,[]
St. Paul Catholic,girls-basketball,5,16,0.238,ciac,[]
St. Thomas Aquinas,boys-basketball,0,0,0.0,none,[]
Stafford,boys-basketball,18,3,0.857,ciac,[]
Stafford,girls-basketball,2,19,0.095,ciac,[]
Stamford,boys-basketball,12,11,0.522,ciac,[]
Stamford,girls-basketball,16,6,0.727,ciac,[]
Staples,boys-basketball,18,0,1.0,ciac,[]
Staples,girls-basketball,21,2,0.913,ciac,[]
Stonington,girls-basketball,16,6,0.727,ciac,[]
Stonington,boys-basketball,12,5,0.706,ciac,[]
Stratford,boys-basketball,19,4,0.826,ciac,[]
Stratford,girls-basketball,1,19,0.05,ciac,[]
Suffield,girls-basketball,20,2,0.909,ciac,[]
Suffield,boys-basketball,11,12,0.478,ciac,[]
